img_path,x1,y1,x2,y2,class_name
images_train/DSC01088,468,2285,810,2577,bicycle
images_train/DSC01088,2754,2120,2872,2555,person
images_train/DSC01088,3554,2142,3719,2650,person
images_train/DSC01088,3776,2149,3966,2647,person
images_train/DSC01088,3947,2092,4032,2339,person
images_train/DSC01088,5181,2120,5349,2564,person
images_train/DSC01088,5161,2276,5349,2605,bicycle
images_train/DSC01088,5377,2066,5470,2475,person
images_train/DSC01088,3522,2146,3589,2323,person
images_train/DSC01090,2938,1448,3204,2183,person
images_train/DSC01090,2858,1760,3244,2276,bicycle
images_train/DSC01090,1932,1522,2267,1786,bicycle
images_train/DSC01090,4631,1387,4789,1737,person
images_train/DSC01090,4867,1408,4996,1763,person
images_train/DSC01090,5102,1400,5168,1589,person
images_train/DSC01090,5331,1370,5464,1594,person
images_train/DSC01090,2927,1326,3147,1846,person
images_train/DSC01090,5047,1462,5208,1574,bicycle
images_train/DSC01090,5309,1454,5471,1577,bicycle
images_train/DSC01091,1391,1044,2628,3230,person
images_train/DSC01091,1473,1928,2726,3555,bicycle
images_train/DSC01091,2221,908,2823,2888,person
images_train/DSC01091,2823,952,3561,3046,person
images_train/DSC01091,3393,968,3919,2932,person
images_train/DSC01091,3940,1060,4537,2997,person
images_train/DSC01093,192,1424,1456,3648,person
images_train/DSC01093,1364,1500,1679,2688,person
images_train/DSC01093,3627,1443,4088,2374,person
images_train/DSC01093,3615,1828,3947,2388,bicycle
images_train/DSC01093,4105,1486,4419,2371,person
images_train/DSC01094,4905,693,4968,879,person
images_train/DSC01094,4679,693,4875,1155,person
images_train/DSC01094,4682,912,4872,1229,bicycle
images_train/DSC01094,4279,699,4442,1169,person
images_train/DSC01094,4116,656,4269,1182,person
images_train/DSC01094,3846,669,4089,1172,person
images_train/DSC01094,3390,713,3576,1242,person
images_train/DSC01094,3217,649,3403,1239,person
images_train/DSC01094,2507,663,2724,1362,person
images_train/DSC01094,2361,746,3533,2594,person
images_train/DSC01094,2624,1498,3496,2964,bicycle
images_train/DSC01094,2227,660,2462,1329,person
images_train/DSC01094,4804,685,4881,932,person
images_train/DSC01094,4956,713,5010,844,person
images_train/DSC01094,4999,704,5050,833,person
images_train/DSC01094,5065,727,5116,820,person
images_train/DSC01095,1755,1202,2486,2601,person
images_train/DSC01095,1625,1806,2489,2815,bicycle
images_train/DSC01097,735,1881,3234,3144,car
images_train/DSC01097,2948,1859,4479,2743,car
images_train/DSC01097,4215,2054,4996,2573,bicycle
images_train/DSC01097,4826,2005,5472,2511,bicycle
images_train/DSC01097,4342,2087,5080,2563,bicycle
images_train/DSC01098,404,1131,4814,3279,car
images_train/DSC01098,4521,1489,5472,2416,bicycle
images_train/DSC01098,5014,1500,5472,2373,bicycle
images_train/DSC01102,0,2044,681,2465,bicycle
images_train/DSC01102,777,1993,1237,2321,bicycle
images_train/DSC01102,1448,1991,1818,2223,bicycle
images_train/DSC01102,1858,1957,2161,2150,bicycle
images_train/DSC01102,2015,1931,2280,2107,bicycle
images_train/DSC01102,2097,1939,2319,2102,bicycle
images_train/DSC01102,2413,1823,2949,2184,car
images_train/DSC01102,3513,1845,3680,1985,car
images_train/DSC01102,3002,1868,3116,1948,bicycle
images_train/DSC01102,4597,2003,5301,2419,bicycle
images_train/DSC01102,4365,1977,4892,2287,bicycle
images_train/DSC01102,2219,1932,2434,2103,bicycle
images_train/DSC01103,1641,1163,4016,3138,bicycle
images_train/DSC01105,827,925,3946,3349,bicycle
images_train/DSC01106,2516,1480,4304,2779,bicycle
images_train/DSC01106,1365,1414,2680,2516,bicycle
images_train/DSC01107,1082,919,1879,3268,person
images_train/DSC01107,2243,984,2942,3290,person
images_train/DSC01107,1950,1527,2763,2060,bicycle
images_train/DSC01107,2522,1439,3273,1847,bicycle
images_train/DSC01107,2543,1410,3294,1828,bicycle
images_train/DSC01107,4868,1215,5101,1632,bicycle
images_train/DSC01107,4864,991,5094,1542,person
images_train/DSC01110,1690,448,4310,3371,car
images_train/DSC01112,2443,1691,2966,3132,person
images_train/DSC01112,3111,1458,3578,2924,person
images_train/DSC01113,3003,1451,3578,3485,person
images_train/DSC01114,2023,1452,2411,2496,person
images_train/DSC01114,2066,1797,2394,2627,bicycle
images_train/DSC01114,684,1571,817,1949,person
images_train/DSC01114,1720,1529,1774,1701,person
images_train/DSC01114,2030,1543,2085,1654,person
images_train/DSC01114,2036,1590,2077,1663,bicycle
images_train/DSC01114,2074,1530,2186,1850,person
images_train/DSC01114,1775,1512,1820,1604,person
images_train/DSC01115,599,1017,2628,3566,bicycle
images_train/DSC01115,2959,860,3772,2416,bicycle
images_train/DSC01117,420,1076,2148,2624,bicycle
images_train/DSC01117,2391,1142,5131,3123,bicycle
images_train/DSC01118,1288,1196,4510,2564,car
images_train/DSC01119,3,1055,4863,3347,car
images_train/DSC01121,371,881,5472,3610,car
images_train/DSC01122,4283,1641,4917,3648,person
images_train/DSC01124,2664,1682,2874,2501,person
images_train/DSC01124,2764,1598,3027,2501,person
images_train/DSC01124,5105,1725,5168,2015,person
images_train/DSC01125,1961,1174,2968,2981,person
images_train/DSC01126,740,1081,1803,2885,person
images_train/DSC01126,2912,1145,2993,1406,person
images_train/DSC01127,1958,2104,2139,2775,person
images_train/DSC01129,2353,1084,3039,3333,person
images_train/DSC01129,175,1283,333,1855,person
images_train/DSC01130,3333,1532,3691,2720,person
images_train/DSC01131,1190,800,4846,3317,car
images_train/DSC01131,1244,1146,1521,1359,bicycle
images_train/DSC01131,900,1132,1198,1363,bicycle
images_train/DSC01131,531,1143,779,1378,bicycle
images_train/DSC01131,229,1171,464,1406,bicycle
images_train/DSC01131,735,1136,1012,1385,bicycle
images_train/DSC01131,99,1143,367,1367,bicycle
images_train/DSC01131,927,1313,1395,1575,bicycle
images_train/DSC01132,1076,1748,3021,2786,car
images_train/DSC01132,196,1896,2006,2806,car
images_train/DSC01132,2521,1781,3961,2596,car
images_train/DSC01132,2961,1705,4762,2436,person
images_train/DSC01133,122,1608,2015,2357,car
images_train/DSC01133,1125,1483,3306,2351,car
images_train/DSC01133,2129,1511,4065,2237,car
images_train/DSC01133,2915,1505,4722,2172,car
images_train/DSC01134,1536,1557,2369,1937,car
images_train/DSC01134,2096,1514,2928,1950,car
images_train/DSC01134,2515,1543,3319,1894,bicycle
images_train/DSC01134,2857,1547,3636,1859,car
images_train/DSC01135,2,1408,1757,2230,car
images_train/DSC01135,1224,1265,2990,2180,car
images_train/DSC01135,1911,1312,3798,2168,bicycle
images_train/DSC01135,2862,1323,4466,2003,car
images_train/DSC01136,30,1468,1864,2346,car
images_train/DSC01136,1050,1294,3019,2222,car
images_train/DSC01136,2053,1386,3870,2184,car
images_train/DSC01136,2819,1397,4516,2053,car
images_train/DSC01137,399,1541,2159,2369,car
images_train/DSC01137,1488,1422,3365,2283,car
images_train/DSC01137,2420,1461,4143,2190,car
images_train/DSC01137,3307,1477,4833,2127,car
images_train/DSC01138,68,1768,1841,2583,car
images_train/DSC01138,1216,1625,3014,2488,car
images_train/DSC01138,2107,1647,3797,2380,car
images_train/DSC01138,2970,1628,4476,2297,car
images_train/DSC01139,19,1457,1805,2280,car
images_train/DSC01139,1150,1365,3034,2254,car
images_train/DSC01139,2076,1397,3790,2122,car
images_train/DSC01139,2939,1411,4475,2073,car
images_train/DSC01141,1441,1861,1954,2690,person
images_train/DSC01141,1466,2162,1923,2876,bicycle
images_train/DSC01141,2488,1769,2670,2178,person
images_train/DSC01141,2638,1771,2748,2157,person
images_train/DSC01142,2910,1430,3610,3339,person
images_train/DSC01142,3279,1478,3778,3209,person
images_train/DSC01143,2353,824,3128,3005,person
images_train/DSC01143,1399,833,1607,1271,person
images_train/DSC01143,1416,982,1586,1357,bicycle
images_train/DSC01144,1950,1717,2454,3071,person
images_train/DSC01144,2624,1515,3441,3133,person
images_train/DSC01144,668,1790,931,2543,person
images_train/DSC01144,4238,1643,4404,2024,person
